TransactionID,CustomerID,Age,Gender,ItemPurchased,Category,PurchaseAmount_USD,Season,ReviewRating
1001,C0998,60,Female,AirPods 4,Earbuds,249,Spring,4.9
1002,C0100,51,Male,AirPods 4,Earbuds,249,Winter,4.2
1003,C0008,45,Female,AirPods Pro 3,Earbuds,329,Winter,4.7
1004,C0659,50,Male,AirPods Pro 3,Earbuds,329,Spring,4.6
1005,C0137,59,Female,AirPods 4,Earbuds,249,Spring,4.8
1006,C0108,47,Male,AirPods Pro 3,Earbuds,329,Fall,4.3
1007,C0229,27,Female,AirPods 4,Earbuds,249,Summer,4.8
1008,C0625,38,Male,AirPods 3,Earbuds,179,Fall,4.3
1009,C0871,59,Non-binary,AirPods 3,Earbuds,179,Winter,4.7
1010,C0943,23,Female,AirPods 3,Earbuds,179,Fall,4.2
1011,C0320,56,Female,AirPods 4,Earbuds,249,Fall,4.5
1012,C0597,31,Male,AirPods Pro 3,Earbuds,329,Spring,4.3
1013,C0992,27,Male,AirPods 4,Earbuds,249,Summer,4.6
1014,C0441,51,Female,AirPods Pro 3,Earbuds,329,Spring,4.6
1015,C0191,59,Male,AirPods Pro 3,Earbuds,329,Spring,4.6
1016,C0437,56,Male,AirPods Pro 3,Earbuds,329,Summer,5
1017,C0909,51,Male,AirPods Pro 3,Earbuds,329,Fall,4.3
1018,C0937,33,Female,AirPods Pro 3,Earbuds,329,Summer,4.6
1019,C0488,37,Male,AirPods Pro 3,Earbuds,329,Spring,2.5
1020,C0631,44,Female,AirPods 4,Earbuds,249,Winter,4.3
1021,C0398,29,Male,AirPods Pro 3,Earbuds,329,Fall,4.7
1022,C0381,18,Female,AirPods 4,Earbuds,249,Summer,4.1
1023,C0666,51,Female,AirPods Pro 3,Earbuds,329,Spring,3.7
1024,C0568,41,Female,AirPods Max 2,Headphones,799,Fall,4.3
1025,C0631,49,Male,AirPods 3,Earbuds,179,Spring,4.5
1026,C0755,26,Female,AirPods 4,Earbuds,249,Winter,4.7
1027,C0029,17,Male,AirPods 4,Earbuds,249,Spring,4.1
1028,C0074,45,Male,AirPods 3,Earbuds,179,Fall,4.2
1029,C0099,26,Other,AirPods 4,Earbuds,249,Summer,4.8
1030,C0437,24,Female,AirPods 4,Earbuds,249,Spring,4.2
1031,C0348,21,Female,AirPods Pro 3,Earbuds,329,Fall,2.1
1032,C0908,50,Female,AirPods Pro 3,Earbuds,329,Fall,4.8
1033,C0833,34,Female,AirPods 3,Earbuds,179,Spring,4.4
1034,C0678,21,Female,AirPods Pro 3,Earbuds,329,Spring,4.1
1035,C0654,31,Male,AirPods 3,Earbuds,179,Winter,4.2
1036,C0717,29,Male,AirPods Max 2,Headphones,799,Winter,1.6
1037,C0814,22,Male,AirPods Pro 3,Earbuds,329,Winter,4.3
1038,C0466,21,Male,AirPods 4,Earbuds,249,Fall,4.1
1039,C0249,21,Male,AirPods Max 2,Headphones,799,Winter,4.3
1040,C0004,33,Female,AirPods 4,Earbuds,249,Summer,4.5
1041,C0658,47,Female,AirPods 3,Earbuds,179,Spring,4.6
1042,C0815,59,Female,AirPods Pro 3,Earbuds,329,Fall,4.3
1043,C0253,16,Female,AirPods Max 2,Headphones,799,Spring,4.5
1044,C0737,25,Female,AirPods Pro 3,Earbuds,329,Spring,1.3
1045,C0808,24,Male,AirPods Max 2,Headphones,799,Spring,4.7
1046,C0197,16,Male,AirPods 4,Earbuds,249,Fall,4.3
1047,C0741,37,Male,AirPods Max 2,Headphones,799,Spring,3.7
1048,C0032,41,Female,AirPods 3,Earbuds,179,Spring,4.2
1049,C0185,48,Female,AirPods Pro 3,Earbuds,329,Winter,4.8
1050,C0248,26,Female,AirPods Pro 3,Earbuds,329,Spring,3.4
1051,C0475,36,Female,AirPods 3,Earbuds,179,Fall,4.9
1052,C0610,37,Male,AirPods Pro 3,Earbuds,329,Summer,4.8
1053,C0460,53,Male,AirPods 4,Earbuds,249,Winter,4.8
1054,C0876,37,Male,AirPods 3,Earbuds,179,Spring,4.8
